,column,nulls,nulls_pct
316,sgkbxappxgeneralxxhosterxinventoryinfoxinfostring,58265,99.57275912159275
317,sgkbxappxfxcurrentreleasextmp,58266,99.57446808510639
318,sgkbxappxgeneralxxhosterxserverinfoxnames,58266,99.57446808510639
319,rtobusinesshours,58270,99.5813039391609
320,workflow,58277,99.5932666837563
321,lxstatusssosmp,58290,99.61548320943348
322,information,58291,99.61719217294711
323,itsmcontractpartner,58295,99.62402802700161
324,endusernumbers,58297,99.62744595402889
325,sgkbxappxfxdeploymentxtmp,58301,99.6342818080834
326,logfourshellremediationstatus,58316,99.65991626078782
327,logfourshellstatusasofdate,58316,99.65991626078782
328,sgkbxappxfxvaluemovetransactions,58323,99.67187900538323
329,logfourshellurls,58328,99.68042382295138
330,sla,58329,99.682132786465
331,logfourshelladditionalinformation,58334,99.69067760403316
332,g_aws_lastupdate,58340,99.70093138511493
333,sgkbxappxfxbcmxremarks,58340,99.70093138511493
334,aws_note,58341,99.70264034862856
335,g_aws_deeplink,58341,99.70264034862856
336,g_aws_lastupdateby,58341,99.70264034862856
337,sgkbxappxdeploymentxlandscapextype,58343,99.70605827565582
338,cloudreadiness,58343,99.70605827565582
339,techcomplexity,58345,99.70947620268306
340,developmentfrequency,58348,99.71460309322396
341,vendor,58348,99.71460309322396
342,csarequired,58349,99.71631205673759
343,businesscriticality_shs,58350,99.71802102025121
344,persinfoisprocessed,58350,99.71802102025121
345,entscheidsecuritygo,58351,99.71972998376485
346,bewilligungspflichtigecloudloesung,58353,99.72314791079211
347,applicationcomplexity,58354,99.72485687430573
348,awsdevstartdate,58360,99.7351106553875
349,tech_description,58360,99.7351106553875
350,sgkbxappxfxaiusage,58361,99.73681961890114
351,inscope,58361,99.73681961890114
352,applikationstyp,58362,99.73852858241476
353,softwarehealth,58363,99.7402375459284
354,prozessowner,58364,99.74194650944203
355,financialclassificationoption,58367,99.74707339998291
356,budget2025,58369,99.75049132701017
357,authentifizierung,58370,99.7522002905238
358,personenbezogenedaten,58372,99.75561821755106
359,erptransformation,58374,99.75903614457832
360,budget2024,58377,99.7641630351192
361,documentationlink,58377,99.7641630351192
362,geschaeftskritikalitaetdetails,58378,99.76587199863283
363,highestdataclassification,58380,99.76928992566009
364,sladetails,58380,99.76928992566009
365,slahosting,58380,99.76928992566009
366,awsprodstartdate,58382,99.77270785268735
367,awsprodcutoverdate,58383,99.77441681620097
368,futureplan,58383,99.77441681620097
369,lxaipotential,58383,99.77441681620097
370,sgkbxappxinternationalxsupport,58384,99.7761257797146
371,slasupportservicepartner,58385,99.77783474322823
372,sgkbxappxfxpersondataxamountxpersons,58386,99.77954370674186
373,controlauthority,58387,99.7812526702555
374,sgkbxappxfxhousekeepingxinterval,58387,99.7812526702555
375,qualicheck_ao,58388,99.78296163376912
376,sgkbxappxfxpersondataxamountxdatasets,58388,99.78296163376912
377,archivwuerdig,58390,99.78637956079638
378,sgkbxappxinternationalxlanguages,58393,99.79150645133727
379,datacategoryfinma,58393,99.79150645133727
380,dataclassificationfinma,58393,99.79150645133727
381,persinfostoragelocation,58393,99.79150645133727
382,processcategoryfinma,58393,99.79150645133727
383,sgkbxappxfxbcmrpoactual,58394,99.79321541485089
384,appurl,58396,99.79663334187815
385,sgkbxappxfxbcmrtotarget,58396,99.79663334187815
386,sgkbxappxfxgrcschutzobjekt,58396,99.79663334187815
387,securitycontact,58397,99.79834230539178
388,anzahlusernew,58399,99.80176023241903
389,strategischebewertung,58402,99.80688712295992
390,eserviceyn,58402,99.80688712295992
391,functionalfitavarage_bc,58405,99.81201401350081
392,numberusers,58405,99.81201401350081
393,qualitygatepassed,58405,99.81201401350081
394,gxprelevance,58406,99.81372297701444
395,advstatus,58407,99.81543194052807
396,loesungansatz,58408,99.81714090404171
397,strategyrecommendation,58409,99.81884986755533
398,beschreibung_appzugriff,58410,99.82055883106896
399,geschaeftsrelevanz,58412,99.82397675809621
400,maximuntolerabledowntime,58412,99.82397675809621
401,lxssoprovidersmp,58412,99.82397675809621
402,changes,58413,99.82568572160984
403,maintenance,58413,99.82568572160984
404,support,58413,99.82568572160984
405,rrpo,58414,99.82739468512347
406,rrto,58414,99.82739468512347
407,first_level_support,58418,99.834230539178
408,hostingprovider,58418,99.834230539178
409,sgkbxappxfxbcmrpotarget,58418,99.834230539178
410,serviceowner,58418,99.834230539178
411,scope_energy,58418,99.834230539178
412,sourcingmodel,58420,99.83764846620524
413,service_requests,58421,99.83935742971887
414,sgkbxappxkritklassxopriskxwichtigkeit,58424,99.84448432025977
415,sgkbxappxfxpcidssxremark,58425,99.84619328377339
416,sgkbxappxkritklassxopriskxkritikalitaet,58425,99.84619328377339
417,scope_wat_ind,58425,99.84619328377339
418,lxairisk,58428,99.85132017431427
419,envdeployment,58429,99.8530291378279
420,sgkbxappxfxanontestdataxsystems,58430,99.85473810134154
421,locationnew,58431,99.85644706485517
422,hardsavings,58432,99.8581560283688
423,sgkbxappxkritklassxopriskxkritikalitaetxfinma,58433,99.85986499188242
424,softsavings,58433,99.85986499188242
425,gxpsystem,58434,99.86157395539605
426,scope_chemtech,58434,99.86157395539605
427,eserviceresource,58436,99.86499188242331
428,paketierungsbereitstellung,58437,99.86670084593695
429,lxcosttco,58438,99.86840980945057
430,resiliencestatus,58439,99.8701187729642
431,gamp5,58440,99.87182773647783
432,supportservicepartner,58442,99.87524566350508
433,scope_services,58442,99.87524566350508
434,lukbxvxopriskcriticalprocess,58443,99.8769546270187
435,sgkbxappxsectionxxopinfoxxappcomplexity,58443,99.8769546270187
436,sgkbxappxsectionxxopinfoxxopcapability,58445,99.88037255404598
437,appexposure,58446,99.8820815175596
438,comments,58446,99.8820815175596
439,sgkbxappxfxhousekeepingremark,58446,99.8820815175596
440,statuscloudbewilligung,58447,99.88379048107323
441,cyberark,58448,99.88549944458686
442,tenancy,58448,99.88549944458686
443,persinfodata,58448,99.88549944458686
444,persinfogdpr,58448,99.88549944458686
445,kontakte,58449,99.88720840810049
446,licensecost,58449,99.88720840810049
447,lxtransformationstatus,58449,99.88720840810049
448,sgkbxappxfxpcidssxcardidxpanusagereason,58450,99.88891737161411
449,persinfoextdisclosure,58450,99.88891737161411
450,sgkbxappxsectionxxopinfoxxnumuser,58451,99.89062633512773
451,sgkbxappxfxpcidssxcarddataprocessingxremark,58452,99.89233529864137
452,coopworkflowid,58454,99.89575322566863
453,sgkbxappxgeneralxxhosterxwinpackageinventoryinfo,58455,99.89746218918226
454,persinfopurpose,58456,99.89917115269589
455,po_progressstatus,58457,99.90088011620952
456,sot,58458,99.90258907972314
457,sgkbxappxfxbcmlasttestdate,58459,99.90429804323678
458,sgkbxappxslaxsupporthours,58459,99.90429804323678
459,datemigration,58460,99.90600700675041
460,qualicheck_so,58461,99.90771597026404
461,managingorganization,58462,99.90942493377767
462,sgkbxappxfxbcmxplanningyear,58463,99.9111338972913
463,descriptionlogging,58463,99.9111338972913
464,keyuser,58463,99.9111338972913
465,sgkbxappxfxbcmnexttesttyp,58464,99.91284286080491
466,ssosupport,58464,99.91284286080491
467,technicalteam,58464,99.91284286080491
468,agileprocess,58465,99.91455182431855
469,codeversionmgt,58465,99.91455182431855
470,po_progressreporting,58465,99.91455182431855
471,sgkbxappxfxbcmnexttestdate,58465,99.91455182431855
472,sgkbxappxfxencryptdataxkeymanage,58465,99.91455182431855
473,sgkbxappxfxpcidssxcardidxpanproxytype,58465,99.91455182431855
474,sgkbxappxfxpcidssxcardidxpanusage,58465,99.91455182431855
475,sgkbxappxfxpcidssxcardmatching,58465,99.91455182431855
476,ssodescription,58465,99.91455182431855
477,bcmclassification,58466,99.91626078783217
478,cloudexcelablagelink,58466,99.91626078783217
479,sgkbxappxfxpcidssxcardidxpanproxy,58466,99.91626078783217
480,sgkbxappxfxbcmlasttesttype,58467,99.91796975134581
481,externalapplicationfeatures,58468,99.91967871485944
482,internalapplicationfeatures,58468,99.91967871485944
483,networkaccess,58468,99.91967871485944
484,persinforetentiontime,58468,99.91967871485944
485,hostinglocation,58469,99.92138767837307
486,systemlink,58469,99.92138767837307
487,scope_group,58469,99.92138767837307
488,bereitstellung,58470,99.9230966418867
489,onetrustid,58470,99.9230966418867
490,whitespot,58470,99.9230966418867
491,po_phaseoutrisks,58471,99.92480560540032
492,casaablagelink,58474,99.92993249594122
493,lxaitype,58474,99.92993249594122
494,coreadditionalapplication,58475,99.93164145945485
495,numberofdevelopers,58475,99.93164145945485
496,piicontained,58475,99.93164145945485
497,sgkbxappxfxsecinspectxcycle,58475,99.93164145945485
498,erfuellungrtoneu,58476,99.93335042296847
499,subtypshs,58476,99.93335042296847
500,erfuellungrto,58478,99.93676834999573
501,externaldatatransferstorage,58478,99.93676834999573
502,sgkbxappxtechxinventarxiksxtodo,58478,99.93676834999573
503,sendtoonetrust,58478,99.93676834999573
504,sgkbxappxslaxsupporthoursremarks,58479,99.93847731350935
505,loesungszeitenslahosting,58480,99.94018627702299
506,prioritaetenslahosting,58480,99.94018627702299
507,rpokatastrophe,58480,99.94018627702299
508,rpooperationell,58480,99.94018627702299
509,rtokatastrophe,58480,99.94018627702299
510,rtooperationell,58480,99.94018627702299
511,reaktionszeitenslahosting,58480,99.94018627702299
512,supportzeitenslahosting,58480,99.94018627702299
513,sgkbxappxslaxavailbility,58481,99.94189524053661
514,storageservice,58481,99.94189524053661
515,sladetailslink4,58481,99.94189524053661
516,executiondate,58482,99.94360420405025
517,programmiersprache,58482,99.94360420405025
518,sgkbxappxfxlogremarks,58482,99.94360420405025
519,sgkbxappxfxpcidssxcardmatchingid,58482,99.94360420405025
520,assessmenturl,58482,99.94360420405025
521,applicationimplementationprovider,58483,99.94531316756388
522,legalbasis,58483,99.94531316756388
523,commentmastersource,58484,99.9470221310775
524,fm,58484,99.9470221310775
525,descriptionsso,58484,99.9470221310775
526,sgkbxappxfxpcidssxcardnumbermask,58485,99.94873109459112
527,public,58486,99.95044005810476
528,sgkb_app_id,58488,99.95385798513202
529,sgkbxappxkritklassxopriskxremark,58488,99.95385798513202
530,cloudready,58488,99.95385798513202
531,hostingregion,58488,99.95385798513202
532,hostingsite,58488,99.95385798513202
533,singlesignonstatus,58489,99.95556694864564
534,sladetailslink5,58489,99.95556694864564
535,contactemailaddress,58490,99.95727591215928
536,contactname,58490,99.95727591215928
537,sgkb_app_produkt_id,58490,99.95727591215928
538,persinfoextdisclosurepurpose,58490,99.95727591215928
539,hostingslad3dokument,58491,99.95898487567291
540,lxactiveusers,58491,99.95898487567291
541,maintenancecost,58491,99.95898487567291
542,contactrole,58493,99.96240280270017
543,poc,58493,99.96240280270017
544,riskdimensions,58493,99.96240280270017
545,resourcedocumentationurl,58494,99.96411176621379
546,strategicrelationship,58494,99.96411176621379
547,lxyeartodate,58494,99.96411176621379
548,builddeploymentautomation,58495,99.96582072972741
549,identifiabledata,58495,99.96582072972741
550,notescoopworkflow,58495,99.96582072972741
551,sekhostingtype,58495,99.96582072972741
552,applicationdevelopmenttype,58495,99.96582072972741
553,testautomation,58499,99.97265658378194
554,vpn_compatibility,58499,99.97265658378194
555,vpn_integrated,58499,99.97265658378194
556,securitycontactphone,58499,99.97265658378194
557,securitytestautomation,58500,99.97436554729556
558,lxaitaxonomydescription,58500,99.97436554729556
559,loesungszeitenservicepartner,58501,99.9760745108092
560,prioritaetenservicepartner,58501,99.9760745108092
561,reaktionszeitenservicepartner,58501,99.9760745108092
562,supportzeitenservicepartner,58501,99.9760745108092
563,sladetailslink1,58501,99.9760745108092
564,measures,58502,99.97778347432282
565,riskdescription,58502,99.97778347432282
566,lxspendmonth,58502,99.97778347432282
567,furthercontactdetails,58503,99.97949243783644
568,genainote,58503,99.97949243783644
569,windows11compliant,58503,99.97949243783644
570,qualityindicator,58504,99.98120140135008
571,regulations,58504,99.98120140135008
572,sgkbxappxfxcertificateinfo,58504,99.98120140135008
573,sgkbxappxfxtestxremarks,58504,99.98120140135008
574,processingpurpose,58504,99.98120140135008
575,committedphaseoutyear,58505,99.98291036486371
576,e360implementedby,58505,99.98291036486371
577,g_apg_lastupdate,58505,99.98291036486371
578,pseudonymizeddata,58505,99.98291036486371
579,servicepartnerslad3dokument,58505,99.98291036486371
580,adonisapplication,58505,99.98291036486371
581,anonymizeddata,58506,99.98461932837735
582,g_apg_deeplink,58506,99.98461932837735
583,g_apg_lastupdateby,58506,99.98461932837735
584,supportcost,58506,99.98461932837735
585,apiavailability,58507,99.98632829189097
586,availableascontainer,58507,99.98632829189097
587,contractenddate,58507,99.98632829189097
588,g_apg_complianceinpercent,58507,99.98632829189097
589,g_apg_needforaction,58507,99.98632829189097
590,horizontalscalability,58507,99.98632829189097
591,opseffort,58507,99.98632829189097
592,otherdatadescription,58507,99.98632829189097
593,verticalscalability,58507,99.98632829189097
594,workloadvolumes,58507,99.98632829189097
595,hidden,58507,99.98632829189097
596,e360qualityconfirmation,58508,99.98803725540459
597,exposingaservice,58508,99.98803725540459
598,integrity1,58508,99.98803725540459
599,piid,58508,99.98803725540459
600,swanbietersurveyerledigt,58508,99.98803725540459
601,serviceexposedtointernet,58508,99.98803725540459
602,confluence_link,58508,99.98803725540459
603,prioritytime,58508,99.98803725540459
604,sladetailslink2,58508,99.98803725540459
605,al,58509,99.98974621891823
606,betriebssystem,58509,99.98974621891823
607,csa,58509,99.98974621891823
608,customer_rating,58509,99.98974621891823
609,db,58509,99.98974621891823
610,plannedadintegration,58509,99.98974621891823
